bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-005_T1w	0.419627680415346	3.14512269553088	0.831705181635159	1471.91235351563	5.28631660931802	4.32960316128738	6.03806666666667	5.49128	0.210363210629875	0.403697905299575	0.38593888407055	1.08202302455902	0.433610111474991	0	0.000391956872392	22.6513909550729	12.1549498059656	15.3155441608332	180	320	320	3.45138227490574	11.2247745588523	12.9912066815373	24.2974632108538	19.7749765989776	39.9777263293102	37.6748720307763	53.271913164041	0.999996960163116	0.75	0.75	3.29915283166927	12.2981176376343	15.6991930007935	16.7970333099365	115243	0	34.822184753418	11.500602722168	0.153614015657926	100.366218566895	390.988555908203	371.212768554687	71057	247.731393432617	591.945654296875	107.554054260254	0.008424341814469	66.8207550048828	755.747375488281	750.455627441406	65476	655.286529541016	874.041763305664	66.8565673828125	0.782457263309431	37.900016784668	998.276916503906	1000.01202392578	450924	926.941821289063	1062.11402587891	41.1570091247559	0.233775570988655	0.503268361091614	0.558150351047516	0.709651381200306
sub-006_T1w	0.35966767335722	3.60680030293566	0.809369952904223	1463.77233886719	4.2651706930483	4.10907207914489	4.59513	4.09131	0.200405653213138	0.418433833074869	0.381160513711994	1.39774990081787	0.431588953733444	0	0.000160072160903	24.5409558145025	12.3558210356547	15.8092567632988	180	240	240	4.16948898613187	12.8039339744579	13.9279821622751	24.8105235262354	19.2411060358336	40.8113895580092	38.3259877540874	54.9254676684195	1.0000067949295	1	1	1.65105198350269	11.9277458190918	12.4427471160889	8.21508693695068	148065	0	31.9024471282959	9.15605545043945	2.70115465609004	70.0263519287109	364.019561767578	350.313354492187	37223	255.798725891113	521.929144287109	84.0171661376953	0.386249909104527	54.7799987792969	745.922302246094	743.032897949219	29113	655.05849609375	845.546081542969	58.0306129455566	0.614324793743469	37.6431121826172	999.82177734375	1000.0009765625	225422	933.21728515625	1065.32088012695	40.3054275512695	0.242211386561394	0.510259449481964	0.564397811889648	0.620439899072722
sub-007_T1w	0.514106902798396	2.45181421363866	0.81619947370872	1451.85827636719	4.24640772360546	4.09195317081638	4.57695	4.07032	0.205406470798263	0.395188022067173	0.399405507134564	1.50540912151337	0.546530699729919	0.000618297220398	0.000277156448427	22.4672813437208	12.0084906505061	14.5762517241819	180	240	240	3.38875537660966	9.8529830491205	12.7476600714337	25.0012417885709	20.2782371064131	41.0272552406507	37.9562622702369	52.563294463647	1.00000166893005	1	1	34.0567659848235	12.4639625549316	13.6404438018799	8.61179256439209	68696	0	34.1423664093018	11.729284286499	1.51276059419782	100.762115478516	409.977600097656	385.793243408203	26103	265.312316894531	625.897180175781	113.842933654785	0.235205517198645	75.5639343261719	786.890075683594	780.543090820312	24746	667.189071655274	929.181671142578	79.2173614501953	0.864150083650301	37.2686614990234	1001.18804931641	1000.01611328125	260396	937.778701782227	1068.26171875	39.9985809326172	0.22968964278698	0.491278171539307	0.552115678787231	0.636519195964248
sub-008_T1w	0.552762422765353	2.40397100179199	0.814969078628677	558.522399902344	4.53033120925857	4.30560362777571	5.01289	4.2725	0.240113768873356	0.381745556864813	0.378140674261831	1.41561269760132	0.51274824142456	0	0.000158318259531	24.5176833712008	14.8453500006535	18.1337358926618	180	240	240	3.81938645349	10.4235190714819	11.6076846652327	20.5801484707263	17.0747663178653	37.6484467636603	34.323532339473	48.2473839368933	0.999989867210388	1	1	23.0712289186299	13.57883644104	25.0130977630615	18.2154808044434	139809	0	55.0265144348145	19.6393890380859	1.429756445571	82.585578918457	368.522064208984	353.904113769531	47645	245.032138061523	544.250305175781	92.6589660644531	-0.054469459623071	75.6814880371094	781.773132324219	780.329284667969	15583	661.793884277344	907.411322021484	74.8599624633789	0.533309802662458	45.7500991821289	1000.18402099609	1000.01062011719	198564	920.339401245117	1079.61774291992	48.5909080505371	0.237854585051537	0.489428609609604	0.57858270406723	0.573057751998951
sub-009_T1w	0.480205553845327	2.75088958673433	0.820947988001532	1746.31237792969	4.30646539896085	4.17001619688256	4.60584	4.14354	0.20437861953165	0.397174079512056	0.398447300956294	1.31086397171021	0.476957964897156	0	0.000184032708737	22.2033564397286	11.7176428798874	14.2797869030953	180	240	240	3.70619234791047	10.3903127123095	13.2439319387128	25.6352907559186	22.2404671654057	43.9062543761932	41.0948745443178	57.1379020913546	1.00000810623169	1	1	6.73181939542707	11.4660530090332	12.9148969650269	8.03966808319092	141177	0	31.7158248901367	9.77736663818359	1.72952157534787	90.6526107788086	411.324462890625	389.247772216797	36069	278.080773925781	601.755334472656	105.024871826172	0.075160947912573	74.5313415527344	774.362182617188	768.437622070313	22664	664.911303710938	905.88196105957	73.9554901123047	0.593441092341302	36.6734085083008	999.605346679688	1000.01501464844	259952	935.116940307617	1062.3999206543	39.0092353820801	0.225173249840736	0.496112555265427	0.55961549282074	0.630871873402327
sub-010_T1w	0.386145276856159	3.23803413508412	0.826482606059828	1448.818359375	4.13057362703345	3.93979088110034	4.47789	3.97404	0.206619731508901	0.418355025400946	0.375025243090152	1.29189038276672	0.458725386857986	0	0.00025075133497	23.4101471348208	12.2437492352245	16.262850541142	180	240	240	3.29863492353862	11.3770725875334	13.744384145857	26.5574449264991	19.2657042565922	39.6296457846579	37.2083771965062	52.7297815482685	1.00000739097595	1	1	8.57604212771659	12.4244394302368	14.9811391830444	16.9935302734375	35080	0	34.7977493286133	10.2600965499878	7.1442056761979	96.9582366943359	382.659484863281	365.367553710937	24048	240.397644042969	584.282284545898	110.760955810547	0.36695437501393	62.3452606201172	754.090698242188	751.562805175781	26862	649.754046630859	868.179467773437	66.0581893920898	1.18730083456277	33.5885314941406	999.585632324219	1000.00244140625	222406	937.747619628906	1059.83908081055	37.6542320251465	0.24154657125473	0.521382689476013	0.58405739068985	0.637320284712215
sub-011_T1w	0.381520155101679	3.30173629964259	0.807584311859797	1510.03845214844	4.0993245370361	3.9643136111083	4.49293	3.84073	0.219429901845258	0.40195242417679	0.378617673977952	1.37854826450348	0.476375591754913	0	0.000205679419857	24.4745457268727	13.3935919095433	16.9808407876217	180	240	240	3.96906012027512	11.9171613190662	13.7294955940794	25.3022653428967	20.3924656687579	43.818577186349	40.8306452677985	58.2808929482885	1.0000091791153	1	1	54.345356861914	11.2411670684814	13.5885467529297	15.5447006225586	116268	0	32.1206233978271	10.3195142745972	2.13240637017976	72.1808013916016	366.134826660156	349.904418945312	37533	257.279315185547	537.945422363281	88.1568298339844	0.521972769236436	58.6155014038086	754.509704589844	751.861694335938	16786	656.408538818359	864.911056518555	63.0887908935547	0.805656663233251	36.0594329833984	999.128662109375	1000.01354980469	202067	932.109887695312	1061.72821044922	39.522590637207	0.246335789561272	0.49545830488205	0.560881495475769	0.614902028478192
sub-012_T1w	0.362883642731964	3.5608417057732	0.807392034544767	2359.91186523438	4.15387952170151	4.01225856510452	4.42393	4.02545	0.192747858445087	0.408354977795241	0.398897163759672	1.43907141685486	0.376122695207596	0	0.000402168888517	24.476335430927	12.3044413445204	15.3058953400837	180	240	240	3.58018657137573	12.3783944539834	14.8686982302566	28.6475136654106	25.5265049913052	53.0995740679215	49.8269282568651	70.8547057113687	1.00000035762787	1	1	2.63666464350207	9.24610233306885	10.6773824691772	6.54570436477661	29011	0	26.117790222168	8.27991199493408	6.13217481361835	77.1837692260742	381.992218017578	360.261901855469	28057	261.474041748047	565.736889648438	100.624778747559	0.156662860294278	58.979362487793	749.885437011719	749.407470703125	27834	650.961480712891	850.562783813476	60.5404853820801	0.80871000611703	31.9529571533203	998.639709472656	999.990051269531	255294	938.462524414063	1053.15301513672	34.9066276550293	0.240661650896072	0.512165069580078	0.573833227157593	0.714138999597664
sub-013_T1w	0.388258597379229	3.36443242021511	0.807545098908344	1524.43139648438	4.24516969513414	3.98969908540242	4.6474	4.09841	0.212359944741407	0.404557408741443	0.38308264651715	1.4894083738327	0.455918788909912	0	0.000192562521255	22.2661930766683	11.8674946000551	14.8737260211358	180	240	240	3.93791311744727	12.2431445134624	13.9677646572956	25.7222363409772	20.5408665729568	44.236626066974	41.166208048737	58.7211315062803	1.00000774860382	1	1	2.13699056694964	11.1568241119385	12.4007263183594	7.74434089660645	129148	0	30.5727164268494	8.82453918457031	2.10924763471166	69.4063110351563	369.733093261719	349.806304931641	42771	260.368743896484	546.083404541016	88.8293380737305	0.263536052637132	59.44580078125	755.221862792969	753.339721679687	25686	657.627746582031	860.534378051758	61.5303573608398	0.605519501275831	36.3251113891602	1000.08148193359	1000.00756835938	232148	936.644845581055	1063.9606262207	38.8770790100098	0.237561196088791	0.498321115970612	0.557567775249481	0.665831663564642
sub-014_T1w	0.600019027117059	2.11453030579063	0.825737100468207	373.720123291016	4.23336410351361	4.13802231054084	4.44717	4.1149	0.234759542810392	0.370422253776659	0.394818203412948	1.46065425872803	0.589779019355774	0	0.000127876281115	23.5164113085637	14.1453674607899	16.5593958738208	180	240	240	3.39997618200012	9.08803584508185	10.9510245657198	20.3650616700774	14.5716568912024	30.5791896177739	28.0052492050521	38.8649011061801	0.999992191791534	1	1	3.00557852788801	16.8572082519531	23.6082324981689	22.8181037902832	81258	0	56.7016624450684	16.1017055511475	0.580434857814008	105.136848449707	391.153381347656	374.940948486328	34851	243.187057495117	599.168212890625	110.275939941406	0.259645187691709	82.0667953491211	796.181945800781	786.828186035156	11884	669.573880004883	956.517901611328	86.574821472168	0.865297943601238	45.8562431335449	1002.93212890625	1000.02648925781	222941	928.088562011719	1087.76867675781	49.1048965454102	0.21844407916069	0.472821980714798	0.563157677650452	0.589418030178074
